BL,hidden_size,multimem_ctas,correctness,pytorch_dist_ar_us,multimem_ar_us,pytorch_dist_rs_us,multimem_rs_us,pytorch_dist_ag_us,multimem_ag_us
64,8192,4,True,35.64799949526787,16.51199907064438,29.279999434947968,16.00000075995922,29.69600073993206,13.504000380635262
128,8192,16,True,55.52000179886818,19.999999552965164,35.90400144457817,18.78399960696697,35.42400151491165,16.92800037562847
256,8192,4,True,67.03999638557434,28.416000306606293,55.55199831724167,25.696000084280968,49.15200173854828,22.71999977529049
512,8192,8,True,94.4959968328476,43.7760017812252,64.06400352716446,36.3520011305809,59.84000116586685,33.34400057792664
1024,8192,8,True,137.2160017490387,75.13599842786789,91.39200299978256,60.19200012087822,89.1840010881424,56.0000017285347
2048,8192,8,True,219.4560021162033,135.74400544166565,125.50400197505952,106.97600245475768,135.55200397968292,100.47999769449234
4096,8192,16,True,348.06400537490845,257.24801421165466,208.0319970846176,197.82400131225583,218.59200298786163,189.56799805164337
8192,8192,16,True,646.2399959564209,500.9599924087525,392.4480080604553,384.1919898986816,395.1680064201355,368.80001425743103
16384,8192,16,True,1230.8800220489502,985.9840273857116,734.8799705505371,753.6320090293884,740.8319711685181,727.3280024528503
32768,8192,16,True,2405.184030532837,1956.928014755249,1419.6159839630127,1501.9840002059937,1422.719955444336,1444.543957710266
