model,prompt_len,baseline_multimem,no_ar,overlap_fused
Llama-3.3-70B-Instruct,1024,82.16623803600669,70.7806277864923,72.4852030010273
Llama-3.3-70B-Instruct,2048,150.60671376995742,132.50509363909563,137.1117228952547
Llama-3.3-70B-Instruct,4096,295.1982548149924,257.20571326091886,261.9019602114956
Llama-3.3-70B-Instruct,8192,609.6116707349817,531.4604259251306,529.5466373829792
Llama-3.3-70B-Instruct,16384,1288.279604849716,1130.3869912400842,1125.9160235213735
Llama-3.3-70B-Instruct,32768,2880.841762789836,2546.313921610514,2558.777756911392
Llama-3.3-70B-Instruct,65536,7063.837035947169,6333.144155439611,6374.80729514112
Qwen2.5-72B-Instruct,1024,83.07936418180664,72.74828466276328,74.30090270936489
Qwen2.5-72B-Instruct,2048,156.36957075136402,138.95677085965872,140.80478268054625
Qwen2.5-72B-Instruct,4096,298.4629144581656,260.0359261967242,272.1775535494089
Qwen2.5-72B-Instruct,8192,621.9123616038511,544.8011342591295,535.5569000355899
Qwen2.5-72B-Instruct,16384,1314.210640778765,1154.918915250649,1158.0431457608938
Qwen2.5-72B-Instruct,32768,2938.272166702276,2593.9349403294423,2620.421326424306
Qwen2.5-72B-Instruct,65536,6869.172319785382,6154.475004412234,6473.697897993649
